timestamp,cme_cpa_deg,cme_width_deg,cme_speed_km_s,is_halo
2019-05-03 15:12:05+00:00,79.0,44.0,202.0,False
2019-05-03 18:24:05+00:00,118.0,134.0,500.0,False
2019-05-03 23:24:05+00:00,90.0,113.0,692.0,False
2019-05-04 13:12:06+00:00,60.0,11.0,324.0,False
2019-05-04 16:36:05+00:00,117.0,22.0,247.0,False
2019-05-04 16:48:05+00:00,93.0,33.0,441.0,False
2019-05-04 21:48:05+00:00,109.0,12.0,445.0,False
2019-05-04 23:24:06+00:00,67.0,40.0,315.0,False
2019-05-05 05:12:05+00:00,64.0,29.0,349.0,False
2019-05-05 06:24:05+00:00,189.0,8.0,326.0,False
2019-05-05 07:24:05+00:00,98.0,22.0,460.0,False
2019-05-05 14:36:05+00:00,60.0,15.0,264.0,False
2019-05-05 15:12:09+00:00,186.0,14.0,559.0,False
2019-05-05 17:24:05+00:00,77.0,29.0,379.0,False
2019-05-05 21:12:08+00:00,112.0,11.0,335.0,False
2019-05-06 00:24:05+00:00,60.0,33.0,290.0,False
2019-05-06 05:36:06+00:00,53.0,53.0,239.0,False
2019-05-06 05:48:05+00:00,108.0,22.0,541.0,False
2019-05-06 08:24:05+00:00,50.0,52.0,128.0,False
2019-05-06 09:36:05+00:00,65.0,72.0,310.0,False
2019-05-06 11:12:05+00:00,41.0,91.0,153.0,False
2019-05-06 13:48:05+00:00,114.0,14.0,383.0,False
2019-05-06 15:36:05+00:00,112.0,15.0,449.0,False
2019-05-06 21:12:10+00:00,216.0,233.0,93.0,False
2019-05-07 02:36:05+00:00,99.0,52.0,338.0,False
2019-05-07 12:00:07+00:00,102.0,11.0,306.0,False
2019-05-07 13:00:05+00:00,48.0,14.0,278.0,False
2019-05-07 23:17:54+00:00,111.0,76.0,549.0,False
2019-05-08 03:12:11+00:00,257.0,9.0,422.0,False
2019-05-08 03:48:05+00:00,92.0,96.0,745.0,False
2019-05-09 06:48:05+00:00,278.0,34.0,212.0,False
2019-05-09 06:48:05+00:00,105.0,40.0,334.0,False
2019-05-10 02:48:07+00:00,122.0,10.0,231.0,False
2019-05-11 03:12:10+00:00,334.0,86.0,191.0,False
2019-05-11 04:48:05+00:00,286.0,229.0,137.0,False
2019-05-12 03:12:09+00:00,319.0,15.0,128.0,False
2019-05-12 04:12:05+00:00,92.0,36.0,253.0,False
2019-05-12 20:24:05+00:00,201.0,255.0,305.0,False
2019-05-13 07:24:05+00:00,276.0,34.0,323.0,False
2019-05-13 14:12:05+00:00,247.0,5.0,226.0,False
2019-05-13 16:48:05+00:00,107.0,17.0,214.0,False
2019-05-13 17:00:05+00:00,231.0,97.0,364.0,False
2019-05-13 19:48:06+00:00,275.0,11.0,290.0,False
2019-05-13 22:30:05+00:00,94.0,13.0,198.0,False
2019-05-14 18:24:05+00:00,248.0,9.0,255.0,False
2019-05-15 14:36:05+00:00,210.0,8.0,264.0,False
2019-05-16 06:12:07+00:00,282.0,7.0,327.0,False
2019-05-16 14:48:05+00:00,285.0,6.0,221.0,False
2019-05-17 09:12:09+00:00,353.0,7.0,305.0,False
2019-05-17 20:00:06+00:00,69.0,37.0,39.0,False
2019-05-18 11:36:05+00:00,267.0,51.0,284.0,False
2019-05-18 16:12:05+00:00,84.0,17.0,218.0,False
2019-05-19 12:12:05+00:00,78.0,14.0,465.0,False
2019-05-19 13:25:41+00:00,294.0,5.0,140.0,False
2019-05-21 08:36:05+00:00,260.0,49.0,378.0,False
2019-05-22 15:12:09+00:00,264.0,29.0,168.0,False
2019-05-23 01:25:42+00:00,93.0,15.0,139.0,False
2019-05-23 04:36:05+00:00,95.0,10.0,107.0,False
2019-05-24 08:48:25+00:00,213.0,11.0,236.0,False
2019-05-24 15:36:06+00:00,85.0,9.0,189.0,False
2019-05-25 08:51:31+00:00,86.0,47.0,183.0,False
2019-05-26 14:24:05+00:00,270.0,5.0,147.0,False
2019-05-29 02:00:05+00:00,232.0,8.0,300.0,False
2019-05-30 13:48:05+00:00,279.0,9.0,222.0,False
2019-05-30 19:48:05+00:00,73.0,19.0,145.0,False
2019-05-31 00:48:05+00:00,75.0,8.0,172.0,False
2019-05-31 06:36:05+00:00,266.0,37.0,128.0,False
2019-05-31 16:30:15+00:00,279.0,24.0,328.0,False
2019-06-02 06:00:05+00:00,106.0,22.0,167.0,False
2019-06-03 05:24:06+00:00,267.0,25.0,167.0,False
2019-06-03 14:24:05+00:00,357.0,8.0,499.0,False
2019-06-04 15:36:05+00:00,104.0,23.0,155.0,False
2019-06-04 15:36:05+00:00,276.0,23.0,232.0,False
2019-06-07 04:28:18+00:00,248.0,10.0,174.0,False
2019-06-07 11:24:05+00:00,350.0,5.0,353.0,False
2019-06-07 11:48:05+00:00,271.0,37.0,179.0,False
2019-06-10 08:24:05+00:00,80.0,31.0,171.0,False
2019-06-11 00:24:05+00:00,85.0,31.0,125.0,False
2019-06-11 15:36:05+00:00,246.0,5.0,249.0,False
2019-06-12 19:00:35+00:00,323.0,13.0,232.0,False
2019-06-14 02:24:05+00:00,285.0,19.0,157.0,False
2019-06-14 23:12:10+00:00,85.0,19.0,194.0,False
2019-06-16 14:24:05+00:00,297.0,9.0,157.0,False
2019-06-18 03:12:11+00:00,108.0,17.0,465.0,False
2019-06-18 07:48:05+00:00,258.0,53.0,333.0,False
2019-06-18 11:12:06+00:00,258.0,26.0,287.0,False
2019-06-19 00:24:06+00:00,297.0,8.0,110.0,False
2019-06-19 09:48:05+00:00,92.0,34.0,232.0,False
2019-06-19 21:12:09+00:00,265.0,60.0,131.0,False
2019-06-19 21:48:05+00:00,96.0,33.0,104.0,False
2019-06-21 18:36:05+00:00,217.0,8.0,387.0,False
2019-06-22 06:36:05+00:00,122.0,10.0,324.0,False
2019-06-23 10:12:05+00:00,107.0,5.0,223.0,False
2019-06-24 04:00:05+00:00,250.0,18.0,222.0,False
2019-06-24 10:12:05+00:00,253.0,19.0,219.0,False
2019-06-25 00:12:05+00:00,83.0,8.0,192.0,False
2019-06-25 01:25:42+00:00,275.0,47.0,64.0,False
2019-06-25 23:48:07+00:00,273.0,17.0,308.0,False
2019-06-26 09:12:11+00:00,257.0,9.0,428.0,False
2019-06-27 22:24:05+00:00,215.0,6.0,221.0,False
2019-06-28 01:25:41+00:00,276.0,8.0,130.0,False
2019-06-28 01:25:41+00:00,256.0,19.0,226.0,False
2019-06-28 09:48:05+00:00,87.0,34.0,438.0,False
2019-06-28 13:25:40+00:00,255.0,10.0,325.0,False
2019-06-28 20:48:05+00:00,116.0,9.0,133.0,False
2019-06-29 12:00:05+00:00,117.0,9.0,236.0,False
2019-06-30 07:48:05+00:00,84.0,42.0,168.0,False
2019-07-01 19:12:05+00:00,115.0,44.0,382.0,False
2019-07-02 01:48:06+00:00,120.0,22.0,196.0,False
2019-07-03 09:12:08+00:00,109.0,9.0,240.0,False
2019-07-03 10:24:05+00:00,272.0,54.0,168.0,False
2019-07-04 05:48:05+00:00,241.0,11.0,313.0,False
2019-07-04 07:12:07+00:00,245.0,11.0,180.0,False
2019-07-04 08:48:05+00:00,198.0,6.0,480.0,False
2019-07-05 00:48:05+00:00,85.0,31.0,81.0,False
2019-07-05 03:12:10+00:00,41.0,11.0,291.0,False
2019-07-05 12:36:05+00:00,242.0,9.0,144.0,False
2019-07-05 16:48:05+00:00,334.0,11.0,256.0,False
2019-07-06 21:48:05+00:00,88.0,52.0,110.0,False
2019-07-09 03:36:05+00:00,92.0,44.0,187.0,False
2019-07-09 14:36:15+00:00,250.0,10.0,254.0,False
2019-07-11 16:24:05+00:00,88.0,45.0,208.0,False
2019-07-12 00:12:05+00:00,81.0,20.0,59.0,False
2019-07-12 10:12:06+00:00,290.0,16.0,129.0,False
2019-07-13 02:36:05+00:00,303.0,53.0,200.0,False
2019-07-13 22:36:06+00:00,84.0,8.0,150.0,False
2019-07-14 02:24:05+00:00,77.0,10.0,178.0,False
2019-07-14 02:48:05+00:00,251.0,25.0,351.0,False
2019-07-14 05:36:05+00:00,293.0,12.0,276.0,False
2019-07-14 10:24:05+00:00,82.0,39.0,151.0,False
2019-07-14 13:25:43+00:00,81.0,12.0,159.0,False
2019-07-14 16:00:05+00:00,80.0,13.0,145.0,False
2019-07-14 18:24:05+00:00,247.0,27.0,191.0,False
2019-07-15 05:12:05+00:00,99.0,13.0,120.0,False
2019-07-15 06:00:05+00:00,81.0,12.0,164.0,False
2019-07-16 02:24:05+00:00,89.0,14.0,183.0,False
